epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1967.71,0.75036,0.55089,1.00125,0.8739,0.85463,0.90484,0.69625,0.85511,0.61046,1.06005,0.000547306,0.000547306,0.000547306
43,2011.26,0.73944,0.53187,0.99925,0.89581,0.8509,0.90565,0.699,0.84188,0.59372,1.05537,0.000533558,0.000533558,0.000533558
44,2057.82,0.73815,0.52795,0.99529,0.88699,0.84791,0.89439,0.68776,0.86098,0.61538,1.06574,0.000519809,0.000519809,0.000519809
45,2102.2,0.72663,0.52146,0.98765,0.88335,0.85215,0.9058,0.69796,0.85562,0.59188,1.06246,0.00050606,0.00050606,0.00050606
46,2146.99,0.7274,0.51596,0.98989,0.90288,0.85396,0.90866,0.70203,0.85184,0.57159,1.07468,0.000492312,0.000492312,0.000492312
47,2191.17,0.72487,0.51308,0.98668,0.89269,0.84584,0.90695,0.70275,0.84289,0.58716,1.06055,0.000478563,0.000478563,0.000478563
48,2234.99,0.70949,0.50447,0.98014,0.90333,0.8544,0.91126,0.71124,0.82793,0.57512,1.04764,0.000464815,0.000464815,0.000464815
49,2278.43,0.70964,0.51219,0.98189,0.88005,0.87389,0.90963,0.70105,0.83924,0.5684,1.06106,0.000451066,0.000451066,0.000451066
50,2322.49,0.69896,0.5034,0.98438,0.88288,0.86255,0.90859,0.69759,0.84793,0.58438,1.06418,0.000437317,0.000437317,0.000437317
51,2366.74,0.70269,0.49723,0.98307,0.89514,0.86476,0.91849,0.70514,0.8418,0.56455,1.06177,0.000423569,0.000423569,0.000423569
52,2410.54,0.69399,0.4872,0.97485,0.90993,0.85832,0.91535,0.70823,0.83428,0.57149,1.05807,0.00040982,0.00040982,0.00040982
53,2454.31,0.69565,0.49214,0.97358,0.91965,0.83779,0.91309,0.70879,0.83791,0.55785,1.06321,0.000396071,0.000396071,0.000396071
54,2499.31,0.67099,0.47613,0.96316,0.89492,0.86908,0.91599,0.70775,0.84264,0.55532,1.06648,0.000382323,0.000382323,0.000382323
55,2545.98,0.66549,0.47691,0.97039,0.90322,0.85728,0.91058,0.71182,0.8147,0.56434,1.04674,0.000368574,0.000368574,0.000368574
56,2591.3,0.67198,0.47735,0.9687,0.8811,0.8666,0.91439,0.7093,0.8327,0.58409,1.05432,0.000354826,0.000354826,0.000354826
57,2635.19,0.66077,0.46324,0.96655,0.90429,0.85074,0.91131,0.71433,0.82306,0.55157,1.04506,0.000341077,0.000341077,0.000341077
58,2677.55,0.66676,0.45998,0.96367,0.91975,0.84487,0.9155,0.71811,0.81807,0.54529,1.04766,0.000327328,0.000327328,0.000327328
59,2720.88,0.66522,0.46155,0.96332,0.90854,0.87151,0.92161,0.71511,0.81991,0.54608,1.04241,0.00031358,0.00031358,0.00031358
60,2763.94,0.65095,0.44819,0.96108,0.89437,0.87907,0.91651,0.71219,0.83727,0.5391,1.05853,0.000299831,0.000299831,0.000299831
61,2807.17,0.6446,0.44421,0.95863,0.89481,0.88155,0.91998,0.7118,0.8382,0.54728,1.06635,0.000286083,0.000286083,0.000286083
62,2850.09,0.64554,0.44545,0.95602,0.91043,0.87048,0.92467,0.71583,0.83938,0.54284,1.05772,0.000272334,0.000272334,0.000272334
63,2893.11,0.6381,0.43913,0.95474,0.91377,0.86713,0.91815,0.71353,0.82878,0.54608,1.05648,0.000258585,0.000258585,0.000258585
64,2936.07,0.63379,0.43876,0.95096,0.90498,0.87113,0.91271,0.70989,0.83937,0.5519,1.07139,0.000244837,0.000244837,0.000244837
65,2979.33,0.6312,0.43598,0.94721,0.89645,0.87167,0.90927,0.70663,0.8405,0.54884,1.0642,0.000231088,0.000231088,0.000231088
