epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3945.14,0.70318,0.49062,1.07638,0.87832,0.89019,0.9228,0.71539,0.83542,0.51838,1.24178,0.000547306,0.000547306,0.000547306
43,4039.01,0.69036,0.46861,1.06823,0.90413,0.87094,0.92306,0.72052,0.8253,0.50726,1.22903,0.000533558,0.000533558,0.000533558
44,4132.86,0.68818,0.46528,1.05753,0.86924,0.88316,0.92274,0.7188,0.82684,0.52586,1.22247,0.000519809,0.000519809,0.000519809
45,4226.54,0.67743,0.45654,1.05456,0.8859,0.88867,0.92422,0.72465,0.83267,0.51003,1.23648,0.00050606,0.00050606,0.00050606
46,4322.27,0.67649,0.45849,1.06093,0.92263,0.85283,0.92321,0.72013,0.84678,0.5151,1.25312,0.000492312,0.000492312,0.000492312
47,4416.11,0.6669,0.45333,1.05075,0.88597,0.88415,0.92427,0.71841,0.83431,0.52072,1.23231,0.000478563,0.000478563,0.000478563
48,4509.9,0.65546,0.44339,1.04638,0.90831,0.86425,0.92143,0.72149,0.81871,0.52141,1.22165,0.000464815,0.000464815,0.000464815
49,4603.78,0.66265,0.45115,1.05416,0.90059,0.86178,0.91718,0.72191,0.81928,0.52531,1.2182,0.000451066,0.000451066,0.000451066
50,4697.42,0.64824,0.44047,1.05239,0.89218,0.86609,0.9221,0.72006,0.82947,0.53603,1.24731,0.000437317,0.000437317,0.000437317
51,4791.21,0.65222,0.43474,1.04794,0.8941,0.85571,0.9179,0.72318,0.82073,0.53838,1.22646,0.000423569,0.000423569,0.000423569
52,4884.98,0.63716,0.43213,1.03443,0.8975,0.86777,0.91984,0.72369,0.83093,0.53157,1.22838,0.00040982,0.00040982,0.00040982
53,4978.61,0.63852,0.426,1.03163,0.906,0.86235,0.92148,0.72306,0.82137,0.53431,1.21381,0.000396071,0.000396071,0.000396071
54,5072.25,0.6154,0.41044,1.02292,0.874,0.88571,0.92225,0.71964,0.82869,0.51373,1.24798,0.000382323,0.000382323,0.000382323
55,5165.85,0.61615,0.41022,1.03235,0.88586,0.88602,0.92691,0.72848,0.82794,0.52202,1.24865,0.000368574,0.000368574,0.000368574
56,5259.69,0.6163,0.40464,1.02659,0.88001,0.89445,0.92682,0.73196,0.82166,0.511,1.24442,0.000354826,0.000354826,0.000354826
57,5353.44,0.61098,0.40055,1.02556,0.88826,0.89271,0.9298,0.73551,0.81274,0.52799,1.22804,0.000341077,0.000341077,0.000341077
58,5447.31,0.60572,0.39287,1.02055,0.89077,0.8787,0.92203,0.73368,0.80981,0.52119,1.23214,0.000327328,0.000327328,0.000327328
59,5541.04,0.60193,0.39062,1.01502,0.87674,0.89532,0.92399,0.73215,0.81838,0.51819,1.24311,0.00031358,0.00031358,0.00031358
60,5634.75,0.59057,0.38337,1.01187,0.88135,0.90574,0.92653,0.73028,0.82505,0.51883,1.24904,0.000299831,0.000299831,0.000299831
61,5728.48,0.59093,0.38035,1.01053,0.8997,0.86703,0.91594,0.72558,0.8331,0.52308,1.2618,0.000286083,0.000286083,0.000286083
62,5822.2,0.58721,0.38241,1.00524,0.88383,0.88501,0.92461,0.73446,0.8269,0.50515,1.2565,0.000272334,0.000272334,0.000272334
63,5915.9,0.57098,0.37082,0.998,0.89932,0.88833,0.92493,0.73321,0.80964,0.51211,1.23414,0.000258585,0.000258585,0.000258585
64,6009.54,0.57167,0.36985,0.99899,0.88686,0.89004,0.91984,0.73379,0.81344,0.50397,1.22799,0.000244837,0.000244837,0.000244837
65,6103.11,0.56691,0.36648,0.99102,0.90001,0.87863,0.92185,0.73769,0.79637,0.50139,1.21788,0.000231088,0.000231088,0.000231088
66,6196.86,0.5565,0.35554,0.99211,0.92064,0.87714,0.92674,0.74144,0.79884,0.49384,1.2275,0.000217339,0.000217339,0.000217339
67,6290.62,0.55326,0.35314,0.99099,0.89652,0.89311,0.92934,0.73884,0.80072,0.50523,1.22959,0.000203591,0.000203591,0.000203591
68,6384.28,0.54988,0.35298,0.98982,0.91418,0.87293,0.92828,0.7365,0.80832,0.49679,1.23912,0.000189842,0.000189842,0.000189842
69,6477.76,0.5443,0.34274,0.98177,0.91431,0.87755,0.92903,0.74096,0.80638,0.50334,1.2378,0.000176094,0.000176094,0.000176094
70,6571.42,0.54581,0.34769,0.9798,0.9163,0.87356,0.93373,0.74219,0.80575,0.49249,1.24354,0.000162345,0.000162345,0.000162345
71,6665.64,0.47861,0.27869,0.92225,0.89819,0.87411,0.92372,0.73744,0.81768,0.51011,1.27117,0.000148596,0.000148596,0.000148596
72,6759.01,0.46781,0.27382,0.91976,0.90296,0.87277,0.92891,0.73828,0.82124,0.50984,1.27146,0.000134848,0.000134848,0.000134848
73,6852.37,0.45402,0.25967,0.90499,0.92227,0.87435,0.93013,0.74255,0.82038,0.51445,1.27251,0.000121099,0.000121099,0.000121099
74,6945.75,0.45085,0.25793,0.90249,0.92513,0.87549,0.92994,0.74399,0.81348,0.50648,1.27394,0.00010735,0.00010735,0.00010735
75,7039.11,0.44448,0.25167,0.90114,0.90931,0.88082,0.93069,0.74382,0.81274,0.50321,1.27131,9.36017e-05,9.36017e-05,9.36017e-05
76,7132.46,0.43665,0.24783,0.89509,0.93159,0.8691,0.93554,0.74599,0.81299,0.51296,1.26017,7.98531e-05,7.98531e-05,7.98531e-05
77,7225.81,0.42447,0.2401,0.88638,0.90557,0.88597,0.92964,0.7441,0.80747,0.51556,1.25424,6.61045e-05,6.61045e-05,6.61045e-05
78,7319.18,0.4251,0.23874,0.88501,0.89769,0.89291,0.93124,0.7448,0.8063,0.51646,1.25746,5.23559e-05,5.23559e-05,5.23559e-05
79,7412.58,0.42373,0.23595,0.88996,0.91816,0.86713,0.92971,0.74322,0.80931,0.51695,1.2667,3.86073e-05,3.86073e-05,3.86073e-05
80,7505.96,0.42031,0.23693,0.88295,0.9279,0.86986,0.93266,0.74606,0.80656,0.51386,1.26243,2.48586e-05,2.48586e-05,2.48586e-05
