epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2698.88,0.72091,0.5213,0.98325,0.8808,0.86542,0.90654,0.70272,0.8668,0.60661,1.05327,0.000547306,0.000547306,0.000547306
43,2762.67,0.71124,0.50666,0.98114,0.88052,0.85824,0.9076,0.69588,0.85971,0.59832,1.06034,0.000533558,0.000533558,0.000533558
44,2826.51,0.70514,0.49894,0.97698,0.89626,0.83306,0.90979,0.69534,0.86004,0.58412,1.06467,0.000519809,0.000519809,0.000519809
45,2890.25,0.69384,0.48493,0.96964,0.89969,0.84906,0.90831,0.6994,0.87105,0.58306,1.07329,0.00050606,0.00050606,0.00050606
46,2954.1,0.69174,0.48954,0.97179,0.90079,0.85305,0.91683,0.70637,0.86556,0.56584,1.06313,0.000492312,0.000492312,0.000492312
47,3017.89,0.68349,0.48267,0.96794,0.8834,0.86175,0.91185,0.70271,0.84581,0.57023,1.03986,0.000478563,0.000478563,0.000478563
48,3082.04,0.67231,0.46837,0.96271,0.90433,0.85014,0.91326,0.70829,0.85645,0.58457,1.04859,0.000464815,0.000464815,0.000464815
49,3146.09,0.67067,0.47708,0.96517,0.88405,0.86445,0.90857,0.6932,0.87012,0.59531,1.07937,0.000451066,0.000451066,0.000451066
50,3210.02,0.66266,0.47511,0.96484,0.90327,0.86527,0.90765,0.70296,0.86459,0.58208,1.0643,0.000437317,0.000437317,0.000437317
51,3273.79,0.65679,0.46035,0.96237,0.88459,0.87181,0.91431,0.71462,0.84935,0.57869,1.05151,0.000423569,0.000423569,0.000423569
52,3337.86,0.64703,0.45811,0.95502,0.89353,0.87017,0.91008,0.70337,0.84933,0.59036,1.06084,0.00040982,0.00040982,0.00040982
53,3401.72,0.65209,0.45769,0.95189,0.89259,0.86113,0.90729,0.69617,0.85881,0.59565,1.05215,0.000396071,0.000396071,0.000396071
54,3465.64,0.63017,0.44103,0.94637,0.91196,0.84816,0.90729,0.70533,0.85213,0.58032,1.05635,0.000382323,0.000382323,0.000382323
55,3529.56,0.62845,0.43891,0.9531,0.88022,0.87675,0.91433,0.71458,0.85022,0.58756,1.04872,0.000368574,0.000368574,0.000368574
56,3593.47,0.62899,0.43554,0.94959,0.88467,0.87562,0.9142,0.71707,0.83146,0.57308,1.04524,0.000354826,0.000354826,0.000354826
57,3657.28,0.62059,0.4326,0.94873,0.89888,0.87026,0.91648,0.71476,0.8378,0.55397,1.05371,0.000341077,0.000341077,0.000341077
58,3721.15,0.61765,0.42409,0.9434,0.91216,0.86841,0.91521,0.71339,0.84604,0.56089,1.06315,0.000327328,0.000327328,0.000327328
59,3784.94,0.61431,0.42398,0.94148,0.91819,0.86359,0.91822,0.71263,0.83727,0.5487,1.05876,0.00031358,0.00031358,0.00031358
60,3848.89,0.60542,0.41862,0.94004,0.89828,0.87163,0.9138,0.70867,0.85051,0.55346,1.059,0.000299831,0.000299831,0.000299831
61,3912.88,0.6017,0.41234,0.9389,0.90577,0.85325,0.91849,0.71209,0.84213,0.55351,1.05463,0.000286083,0.000286083,0.000286083
62,3976.74,0.59528,0.41242,0.93589,0.90511,0.86767,0.91753,0.71418,0.84092,0.54934,1.05683,0.000272334,0.000272334,0.000272334
63,4040.66,0.58248,0.4008,0.9309,0.92661,0.85932,0.91972,0.71764,0.83818,0.54957,1.06059,0.000258585,0.000258585,0.000258585
64,4104.52,0.58295,0.4025,0.93027,0.90259,0.86917,0.91594,0.71422,0.8434,0.54945,1.06347,0.000244837,0.000244837,0.000244837
65,4168.2,0.57705,0.40089,0.92691,0.9146,0.86058,0.91426,0.7096,0.84592,0.55754,1.06801,0.000231088,0.000231088,0.000231088
66,4231.89,0.56992,0.38799,0.92795,0.90645,0.8667,0.91169,0.71379,0.8408,0.54997,1.06323,0.000217339,0.000217339,0.000217339
67,4295.66,0.56484,0.38746,0.92321,0.90505,0.85608,0.91348,0.711,0.8357,0.57006,1.05965,0.000203591,0.000203591,0.000203591
68,4359.47,0.5578,0.3871,0.92324,0.91662,0.85982,0.91511,0.71509,0.83309,0.55419,1.06014,0.000189842,0.000189842,0.000189842
69,4423.38,0.55951,0.37998,0.92326,0.91527,0.86438,0.91986,0.71835,0.83319,0.55498,1.04941,0.000176094,0.000176094,0.000176094
70,4487.36,0.56283,0.38214,0.92158,0.91962,0.84931,0.91908,0.71748,0.83617,0.54583,1.06075,0.000162345,0.000162345,0.000162345
71,4551.7,0.49456,0.31491,0.86627,0.92413,0.83897,0.9081,0.70848,0.84514,0.57229,1.06664,0.000148596,0.000148596,0.000148596
72,4615.39,0.48229,0.30695,0.86375,0.9083,0.87803,0.92069,0.72092,0.83523,0.55203,1.05792,0.000134848,0.000134848,0.000134848
73,4679.06,0.47149,0.29618,0.85762,0.91544,0.87561,0.92,0.72319,0.83358,0.55088,1.05887,0.000121099,0.000121099,0.000121099
74,4742.62,0.46769,0.29401,0.85854,0.91105,0.87693,0.92184,0.72547,0.83345,0.54172,1.05347,0.00010735,0.00010735,0.00010735
75,4806.23,0.45642,0.28747,0.8527,0.90869,0.88764,0.92114,0.72543,0.83308,0.54785,1.05788,9.36017e-05,9.36017e-05,9.36017e-05
76,4869.76,0.45306,0.28634,0.85092,0.90305,0.88751,0.92337,0.72386,0.83739,0.54089,1.06281,7.98531e-05,7.98531e-05,7.98531e-05
77,4935.85,0.44027,0.27757,0.84702,0.92742,0.86708,0.92361,0.72522,0.83091,0.53005,1.06142,6.61045e-05,6.61045e-05,6.61045e-05
78,4999.57,0.43725,0.27728,0.84525,0.93396,0.87402,0.9233,0.72672,0.83352,0.53467,1.06164,5.23559e-05,5.23559e-05,5.23559e-05
79,5063.32,0.43058,0.27262,0.84685,0.92688,0.87048,0.9221,0.72305,0.83331,0.53441,1.06319,3.86073e-05,3.86073e-05,3.86073e-05
80,5126.94,0.43082,0.27369,0.84453,0.92957,0.86812,0.92256,0.72621,0.83044,0.53718,1.06145,2.48586e-05,2.48586e-05,2.48586e-05
