epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,993.59,0.86975,1.4944,1.03477,1.17446,0.85072,0.57778,0.6376,0.37571,0.88161,0.59778,0.66924,0.37844,1.41672,2.27148,1.47968,1.70749,0.0011884,0.0011884,0.0011884
31,1026.4,0.87372,1.45948,1.02566,1.17468,0.59425,0.60556,0.59821,0.37992,0.61032,0.62556,0.61567,0.40111,1.38009,2.17198,1.51455,1.68031,0.0011719,0.0011719,0.0011719
32,1059.27,0.80792,1.36859,0.92664,1.1243,0.6699,0.57682,0.58973,0.36204,0.68855,0.59647,0.61259,0.36141,1.41678,2.96036,1.69187,1.69622,0.0011554,0.0011554,0.0011554
33,1092.02,0.87275,1.44308,0.99828,1.17387,0.63284,0.56263,0.48514,0.28548,0.69037,0.60973,0.56596,0.31078,1.43924,3.12021,1.86409,1.73865,0.00113889,0.00113889,0.00113889
34,1124.77,0.828,1.40327,0.90662,1.12137,0.72253,0.49,0.53889,0.34287,0.87794,0.51415,0.56407,0.33648,1.53509,2.77338,1.67019,1.86911,0.00112239,0.00112239,0.00112239
35,1157.7,0.83713,1.3454,0.85301,1.16054,0.85698,0.55,0.61965,0.36862,0.85698,0.55,0.6282,0.38513,1.48584,2.936,1.54523,1.76385,0.00110589,0.00110589,0.00110589
36,1190.41,0.8065,1.35969,0.84145,1.12779,0.66302,0.61333,0.63622,0.41091,0.74491,0.68111,0.67325,0.38439,1.34345,2.48753,1.5255,1.63553,0.00108938,0.00108938,0.00108938
37,1223.08,0.8181,1.45806,0.8715,1.11766,0.83159,0.58556,0.66342,0.44064,0.85694,0.60556,0.67305,0.43281,1.32582,2.14717,1.26991,1.61038,0.00107288,0.00107288,0.00107288
38,1256.47,0.81976,1.462,0.85254,1.13412,0.79549,0.53,0.61795,0.42204,0.83094,0.55,0.63316,0.41828,1.25293,2.17731,1.49006,1.55117,0.00105638,0.00105638,0.00105638
39,1289.22,0.78226,1.30925,0.84048,1.11323,0.73741,0.58548,0.61474,0.40208,0.73741,0.58548,0.61376,0.38682,1.32319,2.21377,1.50141,1.6865,0.00103987,0.00103987,0.00103987
40,1321.96,0.72453,1.20223,0.7633,1.07004,0.68815,0.61778,0.64214,0.41283,0.882,0.57778,0.68443,0.41975,1.38496,2.40589,1.52836,1.73409,0.00102337,0.00102337,0.00102337
41,1354.56,0.74638,1.33636,0.79563,1.08235,0.82391,0.60556,0.68496,0.42409,0.82391,0.60556,0.68666,0.42581,1.41974,2.33423,1.38278,1.7252,0.00100687,0.00100687,0.00100687
42,1387.23,0.75455,1.30585,0.77442,1.07497,0.89187,0.65423,0.69594,0.47949,0.918,0.67423,0.72431,0.4305,1.28773,2.95082,1.1794,1.6349,0.000990365,0.000990365,0.000990365
43,1420.65,0.73576,1.32317,0.77073,1.10672,0.77799,0.65333,0.67648,0.46851,0.85018,0.70111,0.74443,0.43815,1.2845,2.5153,1.39002,1.6167,0.000973861,0.000973861,0.000973861
44,1453.39,0.72898,1.21214,0.73232,1.07389,0.86031,0.65024,0.71846,0.45023,0.88691,0.66746,0.73962,0.44856,1.32602,2.22443,1.28739,1.56528,0.000957358,0.000957358,0.000957358
45,1485.85,0.73215,1.24965,0.71253,1.06702,0.7825,0.59304,0.62388,0.40813,0.80465,0.61059,0.67771,0.37272,1.39222,2.35057,1.59595,1.59463,0.000940855,0.000940855,0.000940855
46,1518.45,0.74365,1.20958,0.73569,1.08353,0.73518,0.6302,0.6487,0.43917,0.75959,0.64364,0.67403,0.41351,1.3109,2.78485,1.38853,1.57585,0.000924352,0.000924352,0.000924352
47,1551.24,0.66422,1.04852,0.67556,1.04656,0.83132,0.60556,0.66709,0.48112,0.90543,0.67031,0.7141,0.42936,1.23758,2.91272,1.29856,1.44381,0.000907848,0.000907848,0.000907848
48,1583.72,0.69991,1.20154,0.68082,1.06721,0.77131,0.69333,0.68521,0.47438,0.77131,0.69333,0.68596,0.45098,1.22892,2.95973,1.33644,1.46878,0.000891345,0.000891345,0.000891345
49,1616.79,0.68876,1.18957,0.69223,1.05937,0.87543,0.57131,0.6391,0.43363,0.94903,0.62347,0.68965,0.41143,1.33692,2.99341,1.38818,1.58257,0.000874842,0.000874842,0.000874842
50,1649.6,0.67569,1.12886,0.67489,1.06691,0.73564,0.63333,0.68741,0.47435,0.76121,0.65333,0.72268,0.45089,1.29165,2.62987,1.23244,1.57247,0.000858338,0.000858338,0.000858338
51,1682.99,0.70071,1.17533,0.66308,1.04544,0.84487,0.62556,0.68608,0.48443,0.87104,0.64556,0.71196,0.45834,1.17424,2.82421,1.3042,1.49909,0.000841835,0.000841835,0.000841835
52,1716.54,0.66729,1.083,0.64004,1.02627,0.89494,0.68664,0.68777,0.46025,0.89494,0.68664,0.71403,0.42376,1.32927,2.89918,1.32735,1.60692,0.000825332,0.000825332,0.000825332
53,1749.12,0.65083,1.1262,0.63612,1.04804,0.84308,0.63316,0.70243,0.47967,0.86666,0.65268,0.73103,0.45841,1.20985,2.74199,1.26676,1.51789,0.000808828,0.000808828,0.000808828
54,1781.88,0.68462,1.1155,0.68527,1.08231,0.86846,0.58221,0.65642,0.4529,0.89834,0.60031,0.69426,0.42203,1.24469,2.28556,1.3914,1.55553,0.000792325,0.000792325,0.000792325
55,1814.49,0.6314,1.15493,0.63124,1.03908,0.79367,0.59778,0.68661,0.47626,0.85487,0.64556,0.75692,0.45241,1.3214,2.38469,1.46732,1.58451,0.000775822,0.000775822,0.000775822
56,1847.2,0.64017,1.12178,0.64006,1.03911,0.88047,0.61778,0.71185,0.50328,0.9336,0.66556,0.74535,0.48572,1.24194,2.43736,1.36367,1.51626,0.000759318,0.000759318,0.000759318
57,1880.49,0.67223,1.08738,0.63152,1.05407,0.85357,0.63333,0.68806,0.4384,0.90771,0.67333,0.74043,0.45308,1.30016,2.41841,1.32708,1.51947,0.000742815,0.000742815,0.000742815
58,1913.07,0.60534,1.0554,0.58893,0.99571,0.80293,0.67333,0.6754,0.44913,0.82554,0.69333,0.72038,0.42716,1.33247,2.87103,1.36929,1.54942,0.000726312,0.000726312,0.000726312
59,1945.52,0.64612,1.07048,0.61877,1.02167,0.83343,0.66745,0.68779,0.47176,0.85359,0.68658,0.71311,0.46011,1.29517,2.81102,1.40732,1.54813,0.000709809,0.000709809,0.000709809
60,1978.13,0.6132,1.01187,0.57456,0.9964,0.88659,0.60196,0.6869,0.48546,0.91491,0.62174,0.72894,0.46119,1.24422,2.54953,1.30802,1.48207,0.000693305,0.000693305,0.000693305
61,2010.58,0.6099,1.04213,0.58168,0.99568,0.90016,0.58375,0.68018,0.46605,0.92921,0.6035,0.72947,0.43873,1.24545,2.73063,1.28221,1.50804,0.000676802,0.000676802,0.000676802
62,2043.43,0.59172,1.03237,0.57156,1.00086,0.77698,0.65129,0.69568,0.46404,0.79887,0.67077,0.72534,0.4347,1.31532,2.6933,1.35733,1.61393,0.000660299,0.000660299,0.000660299
63,2076.1,0.62287,1.01322,0.58024,1.02069,0.90976,0.65828,0.69923,0.49713,0.93575,0.67828,0.72668,0.45484,1.22657,2.74644,1.18084,1.5305,0.000643795,0.000643795,0.000643795
64,2108.86,0.58896,0.97568,0.57564,1.00642,0.89084,0.6215,0.69268,0.50436,0.89084,0.6215,0.69725,0.45736,1.17149,2.60884,1.20779,1.49597,0.000627292,0.000627292,0.000627292
65,2141.57,0.56186,0.99644,0.50706,0.9684,0.85841,0.64253,0.69543,0.48693,0.88412,0.66253,0.72804,0.45261,1.19193,2.66899,1.19559,1.5308,0.000610789,0.000610789,0.000610789
66,2174.16,0.5835,0.98006,0.52738,0.99096,0.89586,0.62556,0.69713,0.48967,0.92292,0.64556,0.72267,0.45797,1.26778,2.84498,1.23039,1.60877,0.000594286,0.000594286,0.000594286
67,2206.63,0.56867,0.99457,0.54256,0.9803,0.86845,0.6323,0.69537,0.5017,0.8957,0.65202,0.7177,0.47121,1.24957,2.59884,1.25431,1.55253,0.000577782,0.000577782,0.000577782
68,2239.16,0.5652,0.94896,0.51286,0.98515,0.80576,0.69277,0.70765,0.52418,0.83007,0.71277,0.73779,0.47573,1.18287,2.59101,1.14201,1.52692,0.000561279,0.000561279,0.000561279
