epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,178.429,0.80029,1.39466,0.88831,0.98222,0.87798,0.54073,0.65339,0.42896,0.87798,0.54073,0.66995,0.40967,1.29243,2.1513,1.38226,1.2933,0.0011884,0.0011884,0.0011884
31,184.266,0.80594,1.35805,0.85372,0.99021,0.73622,0.64556,0.72747,0.47152,0.75514,0.64556,0.73125,0.43326,1.23255,2.04062,1.21998,1.22896,0.0011719,0.0011719,0.0011719
32,190.124,0.79625,1.31659,0.86305,0.9749,0.72375,0.64556,0.69855,0.47202,0.87051,0.59333,0.73649,0.45104,1.22143,2.13466,1.21944,1.2527,0.0011554,0.0011554,0.0011554
33,195.887,0.83504,1.38733,0.87782,1.01034,0.85259,0.56914,0.69809,0.47091,0.85259,0.56914,0.72405,0.44117,1.32784,2.41115,1.2221,1.30617,0.00113889,0.00113889,0.00113889
34,201.734,0.8336,1.37533,0.85941,0.9826,0.67551,0.62046,0.64575,0.45212,0.69229,0.65176,0.65113,0.40256,1.20129,2.47696,1.41043,1.21159,0.00112239,0.00112239,0.00112239
35,207.547,0.81586,1.3029,0.83086,0.9941,0.82514,0.66111,0.71058,0.49311,0.84436,0.66111,0.72424,0.45229,1.22036,2.25267,1.1931,1.18764,0.00110589,0.00110589,0.00110589
36,213.481,0.78892,1.25458,0.8023,0.98671,0.71938,0.70692,0.74414,0.54464,0.73614,0.72692,0.75962,0.50691,1.11389,1.89121,1.24438,1.21769,0.00108938,0.00108938,0.00108938
37,219.328,0.82205,1.39788,0.85504,0.99813,0.80459,0.65498,0.73708,0.47432,0.80459,0.65498,0.7391,0.47814,1.23531,2.19598,1.33011,1.29213,0.00107288,0.00107288,0.00107288
38,225.2,0.8153,1.36368,0.80705,1.00082,0.79123,0.67375,0.69958,0.50547,0.8485,0.71913,0.74344,0.46803,1.15339,2.27682,1.18531,1.23735,0.00105638,0.00105638,0.00105638
39,231.022,0.75359,1.30276,0.78444,0.96487,0.76547,0.67068,0.71228,0.46862,0.82403,0.70889,0.72718,0.45353,1.25596,2.21483,1.17723,1.28161,0.00103987,0.00103987,0.00103987
40,236.911,0.73595,1.19512,0.73357,0.95068,0.90091,0.60556,0.70034,0.47375,0.90091,0.60556,0.70603,0.4374,1.2884,2.32037,1.19565,1.28928,0.00102337,0.00102337,0.00102337
41,242.801,0.7346,1.23691,0.7243,0.96118,0.89411,0.61419,0.69576,0.47563,0.89411,0.61419,0.70314,0.433,1.24442,2.34315,1.2473,1.27055,0.00100687,0.00100687,0.00100687
42,248.72,0.77751,1.28903,0.73724,0.96953,0.84151,0.51444,0.57898,0.43833,0.86426,0.53444,0.64779,0.39379,1.20174,2.14884,1.58583,1.22324,0.000990365,0.000990365,0.000990365
43,254.433,0.70542,1.21399,0.7136,0.95673,0.87876,0.57,0.6575,0.45426,0.90315,0.59,0.72018,0.45034,1.25101,2.15539,1.26451,1.26988,0.000973861,0.000973861,0.000973861
44,260.195,0.71765,1.20721,0.70035,0.95476,0.89795,0.56706,0.63017,0.45681,0.92334,0.58659,0.66961,0.43051,1.17762,2.15936,1.34842,1.22957,0.000957358,0.000957358,0.000957358
45,266.016,0.74724,1.25438,0.69837,0.96305,0.71224,0.62905,0.67678,0.49087,0.76602,0.68167,0.70736,0.45203,1.22768,2.26909,1.34623,1.26476,0.000940855,0.000940855,0.000940855
46,271.839,0.70171,1.19398,0.71541,0.95162,0.90202,0.59778,0.68538,0.48495,0.86194,0.67333,0.71778,0.46287,1.26863,2.21594,1.27528,1.27673,0.000924352,0.000924352,0.000924352
47,277.64,0.65532,1.06274,0.6363,0.92308,0.76003,0.61928,0.66061,0.46073,0.81156,0.67386,0.7064,0.44156,1.25335,2.10184,1.33438,1.24949,0.000907848,0.000907848,0.000907848
48,283.442,0.72057,1.2367,0.69957,0.95379,0.7527,0.60556,0.6767,0.49265,0.77299,0.62556,0.68462,0.4644,1.15545,1.90709,1.31744,1.18861,0.000891345,0.000891345,0.000891345
49,289.252,0.70159,1.19117,0.67943,0.93611,0.83624,0.61576,0.67247,0.50096,0.85745,0.63543,0.69565,0.46318,1.06007,1.96299,1.3561,1.16578,0.000874842,0.000874842,0.000874842
